FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y,x2,y2
29,553,Metsänneidonpolku,Skogsjungfrustigen,Metsänneidonpolku,Metsänneidonpolku 5,Skogsjungfrustigen 5,Espoo,Esbo,CityBike Finland,19,24.806152,60.186731,25489244.3061044,6674893.02988987
30,555,Kalevalantie,Kalevalavägen,Kalevalantie,Kalevalantie 7,Kalevalavägen 7,Espoo,Esbo,CityBike Finland,21,24.804022,60.184765,25489125.4728111,6674674.33662054
31,557,Louhentori,Louhitorget,Louhentori,Louhentie 16,Louhivägen 16,Espoo,Esbo,CityBike Finland,16,24.796959,60.18715,25488734.3753077,6674941.24565739
32,559,Pohjankulma,Norrhörnet,Pohjankulma,Louhentie 2,Louhivägen 2,Espoo,Esbo,CityBike Finland,25,24.794014,60.18288,25488569.4898886,6674466.0094033
33,561,Koivu-Mankkaa,Björkmankans,Koivu-Mankkaa,Urpu 6,Hänget 6,Espoo,Esbo,CityBike Finland,23,24.78576,60.182976,25488111.4972822,6674478.16255195
34,563,Mankkaanlaaksontie,Mankansdalsvägen,Mankkaanlaaksontie,Mankkaanlaaksontie 1,Mankansdalsvägen 1,Espoo,Esbo,CityBike Finland,26,24.780478,60.188706,25487820.5140536,6675117.53327255
35,565,Mankkaanaukio,Mankansplatsen,Mankkaanaukio,Mankkaantie 3,Mankasvägen 3,Espoo,Esbo,CityBike Finland,20,24.769021,60.194599,25487187.1569038,6675776.27064405
36,571,Tapiolan urheilupuisto,Hagalunds idrottspark,Tapiola Sports Park,Urheilupuistontie 3,Idrottsparksvägen 3,Espoo,Esbo,CityBike Finland,32,24.784654,60.177749,25488048.2247905,6673895.99623137
37,573,Urheilupuisto (M),Idrottsparken (M),Sports Park (M),Jousenpuistonkatu 4,Bågparksgatan 4,Espoo,Esbo,CityBike Finland,28,24.779428,60.17465,25487757.0275825,6673551.67882737
38,575,Tontunmäentie,Tomtekullavägen,Tontunmäentie,Tontunmäentie 25,Tomtekullavägen 25,Espoo,Esbo,CityBike Finland,16,24.769667,60.176107,25487215.8054049,6673715.85971258
39,577,Olarinluoma,Olarsbäcken,Olarinluoma,Olarinluoma 19,Olarsbäcken 19,Espoo,Esbo,CityBike Finland,18,24.760606,60.180848,25486714.8080651,6674245.86588216
40,579,Niittymaa,Ängsmalmen,Niittymaa,Niittymaantie 2,Ängsmalmsvägen 2,Espoo,Esbo,CityBike Finland,21,24.775913,60.171127,25487560.594245,6673159.82131502
41,581,Niittykumpu (M),Ängskulla (M),Niittykumpu (M),Merituulentie 38,Havsvindsvägen 38,Espoo,Esbo,CityBike Finland,35,24.763184,60.170758,25486853.8429104,6673121.17482907
42,583,Haukilahdenkatu,Gäddviksgatan,Haukilahdenkatu,Ahventie 2,Abborrvägen 2,Espoo,Esbo,CityBike Finland,16,24.772708,60.166481,25487380.8989888,6672642.79654064
43,585,Haukilahdenaukio,Gäddviksplatsen,Haukilahdenaukio,Haukilahdenranta 2,Gäddviksstranden 2,Espoo,Esbo,CityBike Finland,16,24.775882,60.162396,25487555.5725813,6672187.06552386
44,587,Hauenkallio,Gäddberget,Hauenkallio,Hauenkalliontie 12,Gäddbergsvägen 12,Espoo,Esbo,CityBike Finland,12,24.767831,60.162477,25487108.5638449,6672197.63419849
45,589,Haukilahdenranta,Gäddviksstranden,Haukilahdenranta,Haukilahdenranta 13,Gäddviksstranden 13,Espoo,Esbo,CityBike Finland,16,24.769864,60.158048,25487219.7288126,6671703.78409227
46,591,Mellstenintie,Mellstensvägen,Mellstenintie,Mellstenintie 17,Mellstensvägen 17,Espoo,Esbo,CityBike Finland,25,24.773993,60.154941,25487447.8418749,6671356.82750553
47,593,Toppelundintie,Toppelundsvägen,Toppelundintie,Toppelundintie 11,Toppelundsvägen 11,Espoo,Esbo,CityBike Finland,12,24.782477,60.1591405,25487920.5726882,6671823.13101073
48,595,Westendintie,Westendvägen,Westendintie,Westendintie 34,Westendvägen 34,Espoo,Esbo,CityBike Finland,16,24.791754,60.158194,25488435.4068652,6671716.0167477
49,596,Toppelundinportti,Toppelundsporten,Toppelundinportti,Haukilahdenkatu 2,Gäddviksgatan 2,Espoo,Esbo,CityBike Finland,20,24.7848628,60.1624471,25488054.2598766,6672191.10068621
50,597,Linnakepolku,Fortstigen,Linnakepolku,Westendintie 99,Westendvägen 99,Espoo,Esbo,CityBike Finland,10,24.790132,60.1637,25488347.2811234,6672329.75084412
51,601,Nokkala,Nokkala,Nokkala,Nokkalanniemi 2,Nokkalaparken 2,Espoo,Esbo,CityBike Finland,18,24.754344,60.147974,25486353.6765885,6670584.49983373
52,603,Matinlahdenranta,Mattviksstranden,Matinlahdenranta,Rantamäki 2,Strandbacken 2,Espoo,Esbo,CityBike Finland,20,24.754196,60.151041,25486346.7266056,6670926.23809737
53,607,Nuottaniementie,Notuddsvägen,Nuottaniementie,Nuottatie 1,Notvägen 1,Espoo,Esbo,CityBike Finland,15,24.741546,60.147921,25485642.7200478,6670581.30744814
54,609,Sepetlahdentie,Sepetviksvägen,Sepetlahdentie,Sepetlahdentie 11,Sepetviksvägen 11,Espoo,Esbo,CityBike Finland,10,24.741234,60.152343,25485627.3182045,6671074.0491653
55,611,Matinkartanontie,Mattgårdvägen,Matinkartanontie,Matinkartanontie 2,Mattsgårdsvägen 2,Espoo,Esbo,CityBike Finland,21,24.752489,60.156258,25486254.0888587,6671507.84090193
56,613,Matinkyläntie,Mattbyvägen,Matinkyläntie,Joosepinkuja 1,Josefsgränden 1,Espoo,Esbo,CityBike Finland,15,24.744978,60.155689,25485836.7103256,6671446.03284882
57,615,Tiistiläntie,Distbyvägen,Tiistiläntie,Tiistiläntie 6,Distbyvägen 6,Espoo,Esbo,CityBike Finland,24,24.737664,60.156755,25485430.9819901,6671566.3912562
58,617,Tiistinkallio,Distberget,Tiistinkallio,Kalastajantie 29,Fiskarvägen 29,Espoo,Esbo,CityBike Finland,12,24.729112,60.153737,25484954.6633718,6671232.05987765
59,619,Etuniementie,Framnäsvägen,Etuniementie,Kalastajantie 6,Fiskarvägen 6,Espoo,Esbo,CityBike Finland,10,24.724835,60.160645,25484720.3224256,6672002.69173935
60,621,Hauenkalliontie,Gäddbergsvägen,Hauenkalliontie,Hauenkalliontie 22,Gäddbergsvägen 22,Espoo,Esbo,CityBike Finland,12,24.756272,60.161138,25486466.1892255,6672050.76231209
61,623,Nelikkotie,Fjärdingsvägen,Nelikkotie,Nelikkotie 14,Fjärdingsvägen 14,Espoo,Esbo,CityBike Finland,16,24.74663,60.161588,25485930.979037,6672102.91350608
62,625,Suomenlahdentie,Finnviksvägen,Suomenlahdentie,Suomenlahdentie 2,Finnviksvägen 2,Espoo,Esbo,CityBike Finland,32,24.741294,60.160015,25485633.9984984,6671928.80711948
63,627,Piispansilta,Biskopsbron,Piispansilta,Piispansilta 11,Biskopsknuten 11,Espoo,Esbo,CityBike Finland,44,24.738416,60.162403,25485475.2367395,6672195.49421905
64,629,Piispanportti,Biskopsporten,Piispanportti,Piispanportti 4,Biskopsporten 4,Espoo,Esbo,CityBike Finland,16,24.732688,60.165603,25485158.6267675,6672553.293869
65,631,Friisilänaukio,Frisansplatsen,Friisilänaukio,Friisiläntie 2,Frisansvägen 2,Espoo,Esbo,CityBike Finland,12,24.721367,60.162842,25484528.7806798,6672248.27639857
66,633,Avaruuskatu,Rymdgatan,Avaruuskatu,Avaruuskatu 1,Rymdgatan 2,Espoo,Esbo,CityBike Finland,16,24.724908,60.168971,25484728.239583,6672930.31144774
67,635,Kuunkatu,Mångatan,Kuunkatu,Kuunkatu 3,Mångatan 3,Espoo,Esbo,CityBike Finland,24,24.726025,60.172673,25484791.9606952,6673342.51033048
68,637,Ruomelantie,Romensvägen,Ruomelantie,Ruomelantie 19,Romensvägen 19,Espoo,Esbo,CityBike Finland,12,24.729314,60.174524,25484975.3738835,6673547.98595481
69,639,Itäportti,Österporten,Itäportti,Ruomelantie 5,Romensvägen 5,Espoo,Esbo,CityBike Finland,18,24.738122,60.174914,25485464.438971,6673589.46648763
70,641,Komeetankatu,Kometgatan,Komeetankatu,Komeetankatu 2,Kometgatan 2,Espoo,Esbo,CityBike Finland,16,24.735969,60.167216,25485341.5082252,6672732.27275898
71,643,Auringonkatu,Solgatan,Auringonkatu,Auringonkatu 2,Solbanan 2,Espoo,Esbo,CityBike Finland,20,24.731472,60.171548,25485093.8066951,6673215.92710886
72,645,Piispankallio,Biskopsberget,Piispankallio,Piispankallio 2,Biskopsberget 2,Espoo,Esbo,CityBike Finland,16,24.743532,60.168441,25485761.9199328,6672867.10114579
73,647,Lystimäki,Lustikulla,Lystimäki,Lystimäentie 2,Lustikullavägen 2,Espoo,Esbo,CityBike Finland,12,24.745666,60.172814,25485882.2669125,6673353.85919543
74,649,Lystimäensilta,Lustikullabron,Lystimäensilta,Vuosikuja 2,Årsgränden 2,Espoo,Esbo,CityBike Finland,15,24.752442,60.17471,25486259.1840429,6673563.67233826
75,651,Suurpellonaukio,Storåkersplatsen,Suurpellonaukio,Suurpellon puistokatu 4,Storaåkerns parkgata 4,Espoo,Esbo,CityBike Finland,24,24.744131,60.184596,25485802.1473636,6674666.87698897
76,653,Lukutori,Lukutorget,Lukutori,Suurpellon puistokatu 18,Storaåkerns parkgata 18,Espoo,Esbo,CityBike Finland,14,24.742571,60.187052,25485716.6519159,6674940.84833489
77,701,Gallen-Kallelan tie,Gallen-Kallelas väg,Gallen-Kallelan tie,Gallen-Kallelan tie 29,Gallen-Kallelas vägen 29,Espoo,Esbo,CityBike Finland,10,24.840699,60.206142,25491166.368012,6677050.58872806
78,703,Elfvik,Elfvik,Elfvik,Elfvikintie 4,Elfviksvägen 4,Espoo,Esbo,CityBike Finland,10,24.8231,60.203852,25490189.7780816,6676797.93200468
79,705,Laajalahden keskus,Bredviks centrum,Laajalahden keskus,Kirvuntie 22,Kirvusvägen 22,Espoo,Esbo,CityBike Finland,19,24.80493,60.203892,25489182.1519036,6676805.22706987
80,707,Majurinkulma,Majorshörnet,Majurinkulma,Itsehallintotie 8,Självstyrelsevägen 8,Espoo,Esbo,CityBike Finland,24,24.824954,60.210735,25490294.6271639,6677564.5311339
81,709,Yhdyskunnankuja,Samhällsgränden,Yhdyskunnankuja,Yhdyskunnankuja 1,Samhällsgränden 1,Espoo,Esbo,CityBike Finland,20,24.819549,60.212508,25489995.4889981,6677762.87782941
82,711,Kirjurinkuja,Skrivargränden,Kirjurinkuja,Kirjurinkuja 1,Skrivargränden 1,Espoo,Esbo,CityBike Finland,26,24.826368,60.215751,25490374.4956934,6678123.18498022
83,713,Upseerinkatu,Officersgatan,Upseerinkatu,Upseerinkatu 3,Officersgatan 3,Espoo,Esbo,CityBike Finland,30,24.819396,60.216067,25489988.0912191,6678159.42929288
84,715,Komentajankatu,Kommendörsgatan,Komentajankatu,Perkkaantie 5,Bergansvägen 5,Espoo,Esbo,CityBike Finland,12,24.821932,60.216222,25490128.7224999,6678176.31681745
85,719,Säteri,Säteri,Säteri,Säterinkatu 6,Säterigatan 6,Espoo,Esbo,CityBike Finland,32,24.811572,60.213443,25489553.528643,6677868.28697306
86,721,Säterinrinne,Säteribrinken,Säterinrinne,Ruusutorpantie 1,Rosatorpsvägen 1,Espoo,Esbo,CityBike Finland,16,24.805613,60.214193,25489223.4076318,6677952.80651018
87,723,Säterinniitty,Säteriängen,Säterinniitty,Säterinpuistontie 16,Säteriparksvägen 16,Espoo,Esbo,CityBike Finland,10,24.800486,60.214666,25488939.3324716,6678006.35404331
88,725,Rummunlyöjänkatu,Trumslagargatan,Rummunlyöjänkatu,Leppävaarankatu 13,Albergagatan 13,Espoo,Esbo,CityBike Finland,20,24.806279,60.217261,25489261.3328988,6678294.52111253
89,727,Ratsutori,Ryttartorget,Ratsutori,Leppävaarankatu 1,Albergagatan 1,Espoo,Esbo,CityBike Finland,33,24.812419,60.217311,25489601.7108716,6678299.10893438
90,729,Leppävaaranaukio,Albergaplanen,Leppävaaranaukio,Hevosenkenkä 3,Hästskon 3,Espoo,Esbo,CityBike Finland,30,24.813885,60.218869,25489683.465766,6678472.46456453
91,731,Leppävaarankäytävä,Albergapassagen,Leppävaarankäytävä,Läkkisepänkuja 3,Bleckslagargränden 3,Espoo,Esbo,CityBike Finland,21,24.813437,60.220254,25489659.0688395,6678626.8454219
92,733,Läkkitori,Blecktorget,Läkkitori,Läkkisepänkuja 3,Bleckslagargränden 3,Espoo,Esbo,CityBike Finland,25,24.813109,60.221019,25489641.1295875,6678712.1298806
93,735,Armas Launiksen katu,Armas Launis gata,Armas Launiksen katu,Armas Launiksen katu 8,Armas Launis gata 8,Espoo,Esbo,CityBike Finland,20,24.818128,60.221781,25489919.5528177,6678796.25167149
94,737,Muurarinkuja,Murargränden,Muurarinkuja,Muurarinkuja 4,Murargränden 4,Espoo,Esbo,CityBike Finland,19,24.812271,60.223769,25489595.5529061,6679018.6550049
95,739,Postipuun koulu,Postipuun koulu,Postipuun koulu,Mäkkylän puistotie 14,Mäkkyläallén 14,Espoo,Esbo,CityBike Finland,16,24.826396,60.223827,25490378.4142043,6679022.97454129
96,741,Gransinmäki,Gransbacken,Gransinmäki,Vanha maantie 6,Gamla landsvägen 6,Espoo,Esbo,CityBike Finland,20,24.804898,60.222154,25489186.3903445,6678839.90351256
97,745,Leppävaaran urheilupuisto,Alberga idrottspark,Leppävaaran urheilupuisto,Veräjäpellonkatu 17,Grindåkersgatan 17,Espoo,Esbo,CityBike Finland,32,24.800971,60.224943,25488969.6720758,6679151.29177177
98,747,Leppävaaran uimahalli,Alberga simhall,Leppävaaran uimahalli,Veräjäpellonkatu 12,Grindåkersgatan 12,Espoo,Esbo,CityBike Finland,18,24.804735,60.226379,25489178.7484849,6679310.66182285
99,749,Vallikatu,Vallgatan,Vallikatu,Vallikatu 19,Vallgatan 19,Espoo,Esbo,CityBike Finland,24,24.813871,60.228463,25489685.703742,6679541.38977032
100,751,Vallipolku,Vallgången,Vallipolku,Vallikatu 12,Vallgatan 12,Espoo,Esbo,CityBike Finland,20,24.819614,60.227827,25490003.7565947,6679469.64572508
101,753,Linnuntie,Fågelvägen,Linnuntie,Linnuntie 2,Fågelsvägen 2,Espoo,Esbo,CityBike Finland,24,24.813954,60.234401,25489692.1679304,6680202.96450148
102,755,Kutsuntatie,Uppbådsvägen,Kutsuntatie,Lintulaaksontie 2,Fågeldalsvägen 2,Espoo,Esbo,CityBike Finland,16,24.824561,60.230453,25490278.6759961,6679761.48500391
103,757,Painiitty,Pajängen,Painiitty,Lotankatu 1,Lottagatan 1,Espoo,Esbo,CityBike Finland,12,24.831397,60.235089,25490658.7873028,6680277.02235536
104,761,Mäkkylän asema,Mäkkylä station,Mäkkylän asema,Perkkaantie 20,Bergansvägen 20,Espoo,Esbo,CityBike Finland,32,24.83939,60.220467,25491097.6637041,6678646.79425245
105,763,Kalkkipellonmäki,Kalkåkersbacken,Kalkkipellonmäki,Turuntie 22,Åbovägen 22,Espoo,Esbo,CityBike Finland,24,24.833536,60.220551,25490773.2105983,6678656.95701807
106,767,Ruutikatu,Krutgatan,Ruutikatu,Ruutikatu 10,Krugranden 10,Espoo,Esbo,CityBike Finland,10,24.820635,60.223377,25490058.9888682,6678973.69107084
107,769,Tiurintie,Tiurisvägen,Tiurintie,Kurkijoentie 1,Kronoborgsvägen 1,Espoo,Esbo,CityBike Finland,12,24.814562,60.204951,25489716.6367988,6676921.67683064
108,900,Orionintie,Orionvägen,Orionintie,Orionintie 3-5,Orionvägen 3-5,Espoo,Esbo,CityBike Finland,20,24.771826,60.180118,25487337.1802734,6674162.32875725
109,901,O'Bike Station,O'Bike Station,O'Bike Station,Rauhalanpuisto 11,Rauhalaparken 11,Espoo,Esbo,CityBike Finland,20,24.742219,60.163412,25485686.8408594,6672307.0812282
110,902,Derby Business Park,Derby Business Park,Derby Business Park,Tarvonsalmenkatu 17,Tarvosundsgatan 17,Espoo,Esbo,CityBike Finland,20,24.835356,60.209017,25490870.8847455,6677371.63537285
111,001,Kaivopuisto,Brunnsparken,Kaivopuisto,Meritori 1,Havstorget 1, , , ,30,24.9502114714031,60.155369615074,25497234.8372991,6671384.15059464
112,002,Laivasillankatu,Skeppsbrogatan,Laivasillankatu,Laivasillankatu 14,Skeppsbrogatan 14, , , ,12,24.9565097715858,60.1609890692806,25497585.0454128,6672009.99485884
113,003,Kapteeninpuistikko,Kaptensskvären,Kapteeninpuistikko,Tehtaankatu 13,Fabriksgatan 13, , , ,16,24.9450181631667,60.1581769029949,25496946.6709573,6671697.15309242
114,004,Viiskulma,Femkanten,Viiskulma,Fredrikinkatu 19,Fredriksgatan  19, , , ,14,24.9417758006418,60.1609858921764,25496766.8873991,6672010.27082291
115,005,Sepänkatu,Smedsgatan,Sepänkatu,Tehtaankatu 25,Fabriksgatan 25, , , ,32,24.9362853002102,60.157948291819,25496461.6807991,6671672.11812285
116,006,Hietalahdentori,Sandvikens torg,Hietalahdentori,Hietalahdenkatu 2,Sandviksgatan 2, , , ,24,24.9296476311878,60.1622283898112,25496093.5738294,6672149.35915385
117,007,Designmuseo,Designmuseet,Design Museum,Korkeavuorenkatu 23,Högbergsgatan 23, , , ,14,24.9459599998806,60.16310319166,25496999.4233992,6672245.97232295
118,008,Vanha kirkkopuisto,Gamla kyrkoparken,Vanha kirkkopuisto,Annankatu 16,Annegatan 16, , , ,24,24.9391145483706,60.1653538465664,25496619.5602119,6672497.05980628
119,009,Erottajan aukio,Skillnadsplatsen,Erottajan aukio,Eteläesplanadi 22,Södra esplanaden 22, , , ,44,24.9441887601673,60.1668948711694,25496901.4321107,6672668.50430707
120,010,Kasarmitori,Kaserntorget,Kasarmitori,Fabianinkatu 13,Fabiansgatan 13, , , ,28,24.9494728793816,60.165017172741,25497194.6394992,6672459.06422298
121,011,Unioninkatu,Unionsgatan,Unioninkatu,Eteläesplanadi 1,Södra esplanaden 1, , , ,22,24.9510226994024,60.1674572921424,25497280.8899993,6672730.86552305
122,012,Kanavaranta,Kanalkajen,Kanavaranta,Kanavaranta 1,Kanalkajen 1, , , ,34,24.9584922784237,60.1684959040351,25497695.6569741,6672846.29853252
123,013,Merisotilaantori,Flottisttorget,Merisotilaantori,Merisotilaantori,Flottisttorget, , , ,24,24.9755284752387,60.1679190540567,25498641.4147702,6672781.55631221
124,014,Senaatintori,Senatstorget,Senate Square,Aleksanterinkatu 22,Alexandersgatan 22, , , ,22,24.9526414004662,60.1691277919118,25497370.8900993,6672916.91892307
125,015,Ritarikatu,Riddaregatan,Ritarikatu,Ritarikatu 7,Riddaregatan 7, , , ,12,24.9555218601895,60.1710906797301,25497530.9459142,6673135.5032027
126,016,Liisanpuistikko,Elisabetsskvären,Liisanpuistikko,Liisankatu 1,Elisabetsgatan 1, , , ,16,24.9613746997628,60.1741821916183,25497856.0479994,6673479.74022317
127,017,Varsapuistikko,Fölskvären,Varsapuistikko,Yrjö-Koskisen katu 1,Yrjö-Koskinens gata 1, , , ,28,24.9494967766807,60.1730909028646,25497196.6541548,6673358.59893091
128,018,Porthania,Porthania,Porthania,Yliopistonkatu 3,Universitetsgatan 3, , , ,30,24.9493081473109,60.1696567475916,25497185.89,6672975.98994859
129,019,Rautatientori / itä,Järnvägstorget/öst,Central Railway Station/East,Rautatientori 1,Järnvägstorget 1, , , ,20,24.9425267992462,60.1708235917114,25496809.5430991,6673106.30232311
130,020,Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenpuisto,Bergbominkuja 1,Bergbomsgränden 1, , , ,22,24.9433556359399,60.1732349001278,25496855.7839559,6673374.91893155
131,021,Töölönlahdenkatu,Tölöviksgatan,Töölönlahdenkatu,Elielinaukio 5,Elielplatsen 5, , , ,44,24.9393079129956,60.1721906837527,25496630.9960304,6673258.77695706
132,022,Rautatientori / länsi,Järnvägstorget/väst,Central Railway Station/West,Kaivokatu 1,Brunnsgatan 1, , , ,16,24.9397601000633,60.1706060919732,25496655.9357991,6673082.20642309
133,023,Kiasma,Kiasma,Kiasma,Mannerheiminaukio 1,Mannerheimplatsen 1, , , ,30,24.9374279000749,60.1712578922641,25496526.5384991,6673154.94722312
134,024,Mannerheimintie,Mannerheimvägen,Mannerheimintie,Mannerheiminitie 18,Mannerheimvägen 18, , , ,20,24.9394194995361,60.1690723919948,25496636.8714991,6672911.34632307
135,025,Narinkka,Narinken,Narinkka,Narinkka 1,Narinken 1, , , ,40,24.9346069826026,60.1700420279259,25496369.8114802,6673019.63322129
136,026,Kamppi (M),Kampen (M),Kamppi (M),Fredrikinkatu 44,Fredriksgatan 44, , , ,32,24.9305373005364,60.168609492141,25496143.721799,6672860.25772308
137,027,Eerikinkatu,Eriksgatan,Eerikinkatu,Eerikinkatu 3,Eriksgatan 3, , , ,14,24.9366415937527,60.1677057096398,25496482.5099289,6672759.22195227
138,028,Lastenlehto,Barnlunden,Lastenlehto,Lapinrinne,Lappbrinken, , , ,16,24.9270362659605,60.1657993006509,25495949.0131923,6672547.36958097
139,029,Baana,Banan,Baana,Ruoholahdenkatu 23,Gräsviksgatan 23, , , ,16,24.9225706207902,60.1641173724871,25495700.8585032,6672360.25976732
140,030,Itämerentori,Östersjötorget,Itämerentori,Itämerentori 1,Östersjötorget 1, , , ,40,24.9145164996449,60.1635308918594,25495253.5819987,6672295.46852297
141,031,Marian sairaala,Maria sjukhus,Maria Hospital,Pohjoinen Rautatiekatu 33,Norra Järnvägsgatan 33, , , ,16,24.9227415692015,60.1683228179992,25495710.8982041,6672828.79860263
142,032,Eläinmuseo,Naturhistoriska museet,Finnish Museum of Natural History,Pohjoinen Rautatiekatu 13,Norra Järnvägsgatan 13, , , ,20,24.9318975121431,60.1713588986588,25496219.5508941,6673166.50457222
143,033,Kauppakorkeakoulu,Handelshögskolan,Hanken School of Economics,Lapuankatu 1,Lappogatan 1, , , ,16,24.923839759,60.171202903,25495772.2356351,6673149.61280403
144,034,Kansallismuseo,Nationalmuseum,National Museum,Mannerheimintie 30,Mannerheimvägen 30, , , ,16,24.9328983153441,60.173956898526,25496275.4007311,6673455.90432545
145,035,Cygnaeuksenkatu,Cygnaeusgatan,Cygnaeuksenkatu,Cygnaeuksenkatu 1,Cygnaeusgatan 1, , , ,16,24.9282685568484,60.1741008716685,25496018.435176,6673472.21522736
146,036,Apollonkatu,Apollogatan,Apollonkatu,Runeberginkatu 43,Runebergsgatan 43, , , ,20,24.9224632983339,60.1760927790452,25495696.4659596,6673694.50814079
147,037,Töölönkatu,Tölögatan,Töölönkatu,Pohjoinen Hesperiankatu 3,Norra Hesperiagatan 3, , , ,18,24.9283525094474,60.1775346191328,25496023.5101327,6673854.78191991
148,038,Töölöntori,Tölötorg,Töölöntori,Töölöntorinkatu 11,Tölötorggatan 11, , , ,16,24.9249700522851,60.1791005171717,25495835.9794685,6674029.45533546
149,039,Ooppera,Nationaloperan,Opera,Mannerheimintie 62,Mannerheimvägen 62, , , ,24,24.9266869997467,60.182552891987,25495931.6937989,6674413.99572338
150,040,Hakaniemi (M),Hagnäs (M),Hakaniemi (M),John Stenberginranta 6,John Stenbergs strand 6, , , ,28,24.9522579797678,60.1780816347447,25497350.3256646,6673914.52855641
151,041,Ympyrätalo,Runda huset,Ympyrätalo,Porthaninrinne 1,Porthansbrinken 1, , , ,36,24.949399999845,60.1808629918822,25497191.9456992,6674224.53242332
152,042,Haapaniemenkatu,Aspnäsgatan,Haapaniemenkatu,Haapaniemenkatu 2,Aspnäsgatan 2, , , ,18,24.9551952848707,60.1831601093456,25497513.7294832,6674480.23427866
153,043,Karhupuisto,Björnparken,Karhupuisto,Agricolankatu 11,Agricolagatan 11, , , ,24,24.9526762998375,60.18428329212,25497374.0374993,6674605.47162339
154,044,Sörnäinen (M),Sörnäs (M),Sörnäinen (M),Vaasanpuistikko 1a,Vaasanpuistikko 1a, , , ,22,24.960554135,60.187712639,25497811.4018355,6674987.26659078
155,045,Brahen kenttä,Braheplan,Brahen kenttä,Helsinginkatu 22,Helsingegatan 22, , , ,20,24.9508131529517,60.1867902883311,25497270.8607061,6674884.86519077
156,046,Diakoniapuisto,Diakoniparken,Diakoniapuisto,Josafatinkatu 12,Josafatsgatan 12, , , ,16,24.9435409604638,60.1869040535812,25496867.3729571,6674897.86316049
157,047,Vanha Kauppahalli,Salutorget,Market Square,Pakkahuoneenlaituri,Packhuskajen, , , ,22,24.9535685411145,60.1652833427097,25497422.0591409,6672488.55266286
158,048,Mastokatu,Mastgatan,Mastokatu,Mastokatu 2,Mastgatan 2, , , ,22,24.9674668165293,60.1647464973781,25498193.6817142,6672428.2787304
159,049,Annankatu,Annankatu,Annankatu,Annankatu 5,Annegatan 5, , , ,16,24.9417379007102,60.1634749245163,25496765.0274777,6672287.58824436
160,050,Melkonkuja,Melkögränd,Melkonkuja,Melkonkuja 1,Melkögränd 1, , , ,12,24.8861093999757,60.1498126916296,25493673.6611983,6670769.43802268
161,051,Itälahdenkatu,Österviksgatan,Itälahdenkatu,Itälahdenkatu 15,Österviksgatan 15, , , ,12,24.8812501991249,60.1506599919369,25493403.9145982,6670864.3150227
162,052,Heikkilänaukio,Heikasplatsen,Heikkilänaukio,Heikkilänaukio 1,Heikasplatsen 1, , , ,20,24.879315899385,60.1540762917607,25493297.1672982,6671245.13592276
163,053,Heikkiläntie,Heikasvägen,Heikkiläntie,Heikkiläntie 7,Heikasvägen 7, , , ,12,24.8850653001728,60.1568169919509,25493617.0218983,6671549.92102281
164,054,Gyldenintie,Gyldénsvägen,Gyldenintie,Gyldenintie 2,Gyldénsvägen 2, , , ,36,24.8766657996794,60.1583841916575,25493150.8761982,6671725.37162286
165,055,Puistokaari,Parksvängen,Puistokaari,Isokaari 30,Storsvängen 30, , , ,16,24.8620200832623,60.1578749328793,25492337.4371865,6671670.24142513
166,056,Luoteisväylä,Nordvästpassagen,Luoteisväylä,Luoteisväylä 17,Nordvästpassagen 17, , , ,12,24.8603118531172,60.1653590878524,25492244.3360341,6672504.28691135
167,057,Lauttasaaren ostoskeskus,Drumsö köpcentrum,Lauttasaari Shopping Center,Lauttasaarentie 26,Drumsövägen 26, , , ,26,24.8828103623042,60.1604153459526,25493492.503724,6671951.05116912
168,058,Lauttasaarensilta,Drumsö bro,Lauttasaarensilta,Lauttasaarentie 5,Drumsövägen 5, , , ,20,24.8899154000946,60.1611858173089,25493887.1865996,6672036.21440274
169,059,Salmisaarenranta,Sundholmsstranden,Salmisaarenranta,Salmisaarenranta 9,Sundholmstranden 9, , , ,28,24.9009334858186,60.164784170294,25494499.603419,6672436.15614902
170,060,Kaapelitehdas,Kabelfabriken,Cable Factory,Tammasaarenlaituri 7,Märaholmskajen 7, , , ,26,24.90279681,60.161252848,25494602.4803317,6672042.56026108
171,061,Länsisatamankatu,Västrahamnsgatan,Länsisatamankatu,Länsisatamankatu 19,Västrahamnsgatan 19, , , ,16,24.9096920006591,60.158927591706,25494985.0035987,6671782.94852286
172,062,Välimerenkatu,Medelhavsgatan,Välimerenkatu,Välimerenkatu 9,Medelhavsgatan 9, , , ,16,24.9162412896547,60.1592963414953,25495348.7515882,6671823.55354397
173,063,Jätkäsaarenlaituri,Busholmskajen,Jätkäsaarenlaituri,Jätkäsaarenlaituri 1,Busholmskajen 1, , , ,24,24.9214896008223,60.1619310923994,25495640.5470989,6672116.74622293
174,064,Tyynenmerenkatu,Stillahavsgatan,Tyynenmerenkatu,Rionkatu 6,Stillhavsgatan 9, , , ,20,24.9203435489542,60.1568077714966,25495576.2218442,6671546.00793736
175,065,Hernesaarenranta,Ärtholmsstranden,Hernesaarenranta,Hylkeenpyytäjänkatu 1a,Säljägargatan 1a, , , ,40,24.9311978237832,60.1535144787873,25496178.6394525,6671178.40873255
