FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y,x2,y2
373,322,Rukatunturintie,Rukatunturivägen,Rukatunturintie,Mellunmäentie 27,Mellungsbackavägen 27, , , ,14,25.1275969785102,60.2312813452731,25507070.1539156,6679847.69062416
374,323,Sallatunturintie,Sallatunturivägen,Sallatunturintie,Sallatunturintie 2,Sallatunturivägen 2, , , ,16,25.118300016596,60.2367409143469,25506553.9190199,6680455.01515664
375,325,Mellunmäki (M),Mellungsbacka (M),Mellunmäki (M),Pallaksentie 3,Pallasvägen 3, , , ,20,25.1098747367064,60.2385353540219,25506086.8190014,6680654.13800754
376,324,Sinkilätie,Märlvägen,Sinkilätie,Untamalantie 2,Untamalavägen 2, , , ,16,25.1110602327979,60.2329614527257,25506153.537803,6680033.22514478
377,327,Humikkalankuja,Humikkalagränd,Humikkalankuja,Rintinpolku 2,Grindstigen 2, , , ,16,25.0900641525363,60.2298249948271,25504990.6809077,6679682.00070666
378,328,Lallukankuja,Lallukkagränden,Lallukankuja,Lallukankuja 1,Lallukkagränden 1, , , ,12,25.082971174464,60.2235265780465,25504598.5233906,6678979.74067928
379,329,Kurkimäki,Tranbacka,Kurkimäki,Kurkimäentie 3,Tranbackavägen 3, , , ,16,25.0716416497357,60.2282903943644,25503970.0296326,6679509.77103044
380,330,Kontula (M),Gårdsbacka (M),Kontula (M),Kontulankaari 1,Gårdsbackabågen 1, , , ,20,25.0826095549619,60.2360953526154,25504576.7287165,6680380.0797079
381,326,Tuukkalantie,Tuukkalavägen,Tuukkalantie,Aarteenetsijäntie 10,Skattsökarvägen 10, , , ,16,25.1007232150956,60.2388442456374,25505579.7925673,6680687.74472235
382,331,Lettopolku,Gungflystigen,Lettopolku,Lettopolku 2,Gungflystigen 2, , , ,16,25.0855297731565,60.240913939764,25504737.8186612,6680917.15477721
383,332,Kontulankaari,Gårdsbackabågen,Kontulankaari,Kontulankaari 7,Gårdsbackabågen 7, , , ,16,25.076226580763,60.2438416352054,25504222.102956,6681242.71639547
384,333,Kivikonkaari,Stensbölebågen,Kivikonkaari,"Kontulankaari 8, toinen puoli","Gårdsbackabågen 8, andra sidan", , , ,14,25.0746433427518,60.2399042915928,25504134.9053831,6680803.93174656
385,334,Varustuksentie,Rustningsvägen,Varustuksentie,Varustuksentie 1,Rustningsvägen 1, , , ,14,25.0668572558023,60.2391310073666,25503703.6785737,6680717.31291719
386,335,Kurkimäentie,Tranbackavägen,Kurkimäentie,Kivikonkaari 30,Stensbölebågen 30, , , ,16,25.0626083649392,60.2331943880568,25503468.9310486,6680055.64615657
387,336,Kivikonlaita,Stensbölekanten,Kivikonlaita,Kivikonlaita 2,Stensbölekanten 2, , , ,16,25.0549152254879,60.230462178329,25503042.9319115,6679750.8542746
388,337,Kivikon liikuntapuisto,Stensböle idrottspark,Kivikko sports park,Savikiekontie 6,Lerduvevägen 6, , , ,16,25.0524695830581,60.23703581972,25502906.8331323,6680483.15436253
389,338,Jakomäentie,Jakobackavägen,Jakomäentie,Jakomäentie 18,Jakobackavägen 18, , , ,16,25.0743775866131,60.2537712252939,25504118.442468,6682348.91929957
390,340,Jakomäki,Jakobacka,Jakomäki,Jakomäenkuja 2,Jakobackagränden 2, , , ,16,25.0759055985793,60.2610194104155,25504202.1227327,6683156.58379093
391,339,Alppikylä,Alpbyn,Alppikylä,Tattariharjuntie 51,Tattaråsvägen 51, , , ,14,25.0648942053969,60.259431119227,25503592.7078063,6682978.97132823
392,341,Heikinlaakso,Henriksdal,Heikinlaakso,Vanha Porvoontie 32,Gamla Borgåvägen 32, , , ,16,25.0727127107009,60.2701965544061,25504024.2382169,6684178.8722422
393,342,Puistolan VPK,Parkstads FBK,Puistolan VPK,Puistolan raitti 5,Parkstads bygata 5, , , ,18,25.0575355661699,60.2700856600164,25503184.2798486,6684165.68767318
394,343,Puistolantori,Parkstads torg,Puistolantori,Puistolantori 1,Parkstads torg 1, , , ,12,25.0458546004102,60.2743699271658,25502537.4704244,6684642.52085817
